photo_lon,photo_lat,detected_age,sentiment,sentiment_score,z_height
12.346977,45.434994,39,Negative,0.99631929397583,-0.99631929397583
12.346497,45.434651,41,Positive,0.9441174268722534,0.9441174268722534
12.346647,45.434636,32,Negative,0.9319393634796144,-0.9319393634796144
12.346647,45.434636,38,Positive,0.6789630055427551,0.6789630055427551
12.346647,45.434636,37,Negative,0.5411346554756165,-0.5411346554756165
12.346615,45.434704,27,Positive,0.8232799768447876,0.8232799768447876
12.346624,45.434689,37,Positive,0.7329437136650085,0.7329437136650085
12.341304,45.439278,36,Positive,0.7226577997207642,0.7226577997207642
12.342334,45.439342,37,Positive,0.6777219772338867,0.6777219772338867
12.342334,45.439342,29,Negative,0.8452581167221069,-0.8452581167221069
12.341402,45.439211,29,Positive,0.9603770971298218,0.9603770971298218
12.342066,45.439387,27,Positive,0.890584409236908,0.890584409236908
12.342066,45.439387,38,Negative,0.9887307286262512,-0.9887307286262512
12.340311,45.439786,29,Negative,0.7259824275970459,-0.7259824275970459
12.359179,45.428395,29,Positive,0.7201665639877319,0.7201665639877319
12.353042,45.431181,34,Negative,0.9460849761962892,-0.9460849761962892
12.358653,45.433929,28,Negative,0.6791039109230042,-0.6791039109230042
12.357936,45.428105,19,Negative,0.917643904685974,-0.917643904685974
12.356473,45.428887,28,Positive,0.918139100074768,0.918139100074768
12.35687,45.431183,35,Positive,0.9910088181495668,0.9910088181495668
12.359501,45.428583,27,Positive,0.9129957556724548,0.9129957556724548
12.353546,45.430925,34,Positive,0.5136770606040955,0.5136770606040955
12.355145,45.431015,30,Negative,0.7808352112770081,-0.7808352112770081
12.358514,45.429953,39,Negative,0.9085195660591124,-0.9085195660591124
12.358932,45.42207,39,Negative,0.914470672607422,-0.914470672607422
12.358902,45.429863,32,Negative,0.737854540348053,-0.737854540348053
12.355591,45.433355,34,Negative,0.9750964045524596,-0.9750964045524596
12.360123,45.429471,31,Negative,0.5216763019561768,-0.5216763019561768
12.359622,45.424388,26,Positive,0.8342515826225281,0.8342515826225281
12.355027,45.431286,50,Positive,0.672956645488739,0.672956645488739
12.356379,45.429569,29,Positive,0.504663348197937,0.504663348197937
12.356379,45.429569,29,Positive,0.7646059393882751,0.7646059393882751
12.358664,45.42978,30,Positive,0.7476702928543091,0.7476702928543091
12.358664,45.42978,33,Negative,0.6124454736709595,-0.6124454736709595
12.358664,45.42978,39,Positive,0.717628002166748,0.717628002166748
12.358664,45.42978,35,Positive,0.8204299807548523,0.8204299807548523
12.358664,45.42978,28,Positive,0.5196962952613831,0.5196962952613831
12.359971,45.428935,32,Negative,0.8000844120979309,-0.8000844120979309
12.359619,45.42899,34,Negative,0.958888053894043,-0.958888053894043
12.367944,45.426201,26,Negative,0.9200819730758668,-0.9200819730758668
12.352966,45.43113,32,Positive,0.5022668838500977,0.5022668838500977
12.358074,45.428526,34,Positive,0.5818735361099243,0.5818735361099243
12.358908,45.433317,30,Negative,0.5141096711158752,-0.5141096711158752
12.358219,45.428734,45,Positive,0.5598508715629578,0.5598508715629578
12.363972,45.427848,47,Negative,0.5782374739646912,-0.5782374739646912
12.354769,45.429961,23,Negative,0.7423607707023621,-0.7423607707023621
12.352972,45.431516,21,Negative,0.9906576871871948,-0.9906576871871948
12.358567,45.4278,26,Negative,0.9883878827095032,-0.9883878827095032
12.358627,45.428233,30,Negative,0.5592437386512756,-0.5592437386512756
12.356872,45.43307,40,Positive,0.8338114619255066,0.8338114619255066
12.354033,45.428561,34,Negative,0.9900139570236206,-0.9900139570236206
12.358255,45.428497,35,Positive,0.895724892616272,0.895724892616272
12.358997,45.429916,35,Negative,0.9742786288261414,-0.9742786288261414
12.359779,45.428436,24,Negative,0.9327499270439148,-0.9327499270439148
12.358932,45.42207,32,Negative,0.97879159450531,-0.97879159450531
12.357623,45.429577,41,Negative,0.7957260012626648,-0.7957260012626648
12.357623,45.429577,26,Negative,0.5208966135978699,-0.5208966135978699
12.358889,45.428914,25,Negative,0.9987429976463318,-0.9987429976463318
12.356772,45.430669,37,Negative,0.8803589940071106,-0.8803589940071106
12.35846,45.428124,43,Negative,0.9024003148078918,-0.9024003148078918
12.356744,45.428958,39,Positive,0.765370786190033,0.765370786190033
12.363288,45.426678,34,Positive,0.9211098551750184,0.9211098551750184
12.366839,45.425729,29,Negative,0.6153809428215027,-0.6153809428215027
12.366507,45.426618,27,Positive,0.6474857330322266,0.6474857330322266
12.358288,45.431572,29,Negative,0.8972662091255188,-0.8972662091255188
12.355949,45.429426,56,Positive,0.9680916666984558,0.9680916666984558
12.353932,45.430578,39,Positive,0.9173643589019777,0.9173643589019777
12.355692,45.432566,25,Negative,0.9264289140701294,-0.9264289140701294
12.355864,45.431,28,Negative,0.7908844947814941,-0.7908844947814941
12.360434,45.42963,30,Negative,0.8664672374725342,-0.8664672374725342
12.36037,45.429102,24,Negative,0.6165598630905151,-0.6165598630905151
12.359871,45.429767,38,Negative,0.8464391231536865,-0.8464391231536865
12.3571,45.428913,34,Positive,0.9883826375007628,0.9883826375007628
12.356764,45.42901,41,Positive,0.9033541679382324,0.9033541679382324
12.357945,45.430691,28,Negative,0.740694522857666,-0.740694522857666
12.354255,45.432494,26,Positive,0.6407750844955444,0.6407750844955444
12.35522,45.429855,30,Positive,0.7709882259368896,0.7709882259368896
12.357988,45.42781,27,Negative,0.9336167573928832,-0.9336167573928832
12.357795,45.428922,31,Negative,0.9731246829032898,-0.9731246829032898
12.359189,45.429471,25,Negative,0.9552208185195924,-0.9552208185195924
12.357795,45.428922,30,Negative,0.997121512889862,-0.997121512889862
12.357795,45.428922,39,Negative,0.8893570899963379,-0.8893570899963379
12.358052,45.42783,39,Negative,0.9621825814247132,-0.9621825814247132
12.357973,45.42883,26,Positive,0.9637815356254578,0.9637815356254578
12.354694,45.430345,33,Positive,0.8231529593467712,0.8231529593467712
12.353053,45.431421,34,Negative,0.5607549548149109,-0.5607549548149109
12.341644,45.435048,33,Negative,0.997850775718689,-0.997850775718689
12.339938,45.434688,36,Negative,0.5446987748146057,-0.5446987748146057
12.340247,45.433452,29,Positive,0.926410675048828,0.926410675048828
12.335919,45.438386,30,Negative,0.5406723618507385,-0.5406723618507385
12.341208,45.433755,34,Negative,0.8550652265548706,-0.8550652265548706
12.338461,45.442962,27,Negative,0.6452181935310364,-0.6452181935310364
12.335755,45.438058,43,Positive,0.689283549785614,0.689283549785614
12.342267,45.43505,27,Positive,0.8985836505889893,0.8985836505889893
12.340602,45.434786,36,Negative,0.9922364354133606,-0.9922364354133606
12.335994,45.436933,33,Negative,0.633125901222229,-0.633125901222229
12.335586,45.438092,36,Positive,0.8842973113059998,0.8842973113059998
12.339352,45.433552,23,Negative,0.9511206150054932,-0.9511206150054932
12.339757,45.4346,37,Positive,0.9653011560440063,0.9653011560440063
12.335272,45.431336,24,Negative,0.9929848313331604,-0.9929848313331604
12.339277,45.43638,30,Negative,0.550163209438324,-0.550163209438324
12.342347,45.435811,27,Negative,0.9994853734970092,-0.9994853734970092
12.336026,45.438205,34,Negative,0.583102285861969,-0.583102285861969
12.338,45.442797,49,Positive,0.6106784343719482,0.6106784343719482
12.335608,45.43767,30,Positive,0.8978496789932251,0.8978496789932251
12.34041,45.433808,32,Negative,0.5268351435661316,-0.5268351435661316
12.335886,45.438047,38,Positive,0.861496090888977,0.861496090888977
12.34596,45.435779,33,Negative,0.5338512659072876,-0.5338512659072876
12.339179,45.43938,29,Negative,0.8674454092979431,-0.8674454092979431
12.33965,45.433281,29,Negative,0.5390177965164185,-0.5390177965164185
12.337809,45.43403,31,Negative,0.8470278382301331,-0.8470278382301331
12.33965,45.433281,35,Negative,0.9666804075241088,-0.9666804075241088
12.34374,45.433906,28,Negative,0.99947589635849,-0.99947589635849
12.338333,45.433771,34,Negative,0.9180034399032592,-0.9180034399032592
12.33763,45.433857,33,Negative,0.9393806457519532,-0.9393806457519532
12.338338,45.432909,32,Negative,0.7530160546302795,-0.7530160546302795
12.338944,45.434335,32,Negative,0.9094613790512084,-0.9094613790512084
12.339277,45.435404,32,Negative,0.9290462136268616,-0.9290462136268616
12.335931,45.438066,26,Positive,0.8485854268074036,0.8485854268074036
12.340983,45.43359,24,Negative,0.9876353144645692,-0.9876353144645692
12.338803,45.434119,30,Positive,0.5884379148483276,0.5884379148483276
12.336875,45.435194,29,Negative,0.9488059878349304,-0.9488059878349304
12.348439,45.433243,26,Positive,0.908211886882782,0.908211886882782
12.340189,45.433627,32,Positive,0.8798578381538391,0.8798578381538391
12.339363,45.434058,36,Negative,0.7793382406234741,-0.7793382406234741
12.332888,45.441236,37,Negative,0.9974729418754578,-0.9974729418754578
12.347388,45.435412,26,Positive,0.8264417052268982,0.8264417052268982
12.338279,45.432754,32,Negative,0.9573161005973816,-0.9573161005973816
12.334631,45.439304,30,Negative,0.9358022212982178,-0.9358022212982178
12.337161,45.433894,27,Negative,0.5771658420562744,-0.5771658420562744
12.347036,45.435016,25,Negative,0.9975435137748718,-0.9975435137748718
12.339768,45.433162,31,Negative,0.9183144569396972,-0.9183144569396972
12.33579,45.438056,54,Positive,0.9844176769256592,0.9844176769256592
12.331809,45.43825,37,Positive,0.7132343053817749,0.7132343053817749
12.340736,45.433454,34,Positive,0.6443850994110107,0.6443850994110107
12.334102,45.434906,33,Negative,0.9949984550476074,-0.9949984550476074
12.334222,45.436669,30,Negative,0.6138534545898438,-0.6138534545898438
12.340327,45.433597,21,Negative,0.5940721035003662,-0.5940721035003662
12.340071,45.43327,34,Negative,0.9973899722099304,-0.9973899722099304
12.333888,45.437211,27,Positive,0.8831998109817505,0.8831998109817505
12.339792,45.434606,48,Positive,0.6040303707122803,0.6040303707122803
12.333118,45.441888,34,Positive,0.982365906238556,0.982365906238556
12.339481,45.433674,38,Positive,0.998402178287506,0.998402178287506
12.338891,45.434764,29,Positive,0.9519280791282654,0.9519280791282654
12.333611,45.433186,27,Positive,0.6884058713912964,0.6884058713912964
12.332166,45.434333,32,Negative,0.932590126991272,-0.932590126991272
12.34081,45.437858,48,Negative,0.8009958863258362,-0.8009958863258362
12.338965,45.434433,34,Negative,0.6886639595031738,-0.6886639595031738
