position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
3,Villa Franchin,4.2,362.0,Parco,"Viale Giuseppe Garibaldi, 155, 30174 Venezia VE, Italia",Ora aperto,ChIJp0NqnWe0fkcRfulusez6QyE,"{'latitude': 45.5044337, 'longitude': 12.249269499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzR8HYgc0lLnijcsn6qYfEeoTNhAnaJAtMXmlBSAJ-FsGKh4zfBq-GVg_zPdDt1VjAjd3W29tw6hWeyKHlS-QgY40Sb4vfVHGrlRUA8DgJKTngTMKHGCF3jdmn9SEdZrZR0nh7UA=w163-h92-k-no,
4,Parco Arcobaleno,4.2,467.0,Parco,"Via dello Scoutismo, 31021 Mogliano Veneto TV, Italia",Aperto 24 ore su 24,ChIJhfJayydLeUcRNwyJr9t8vnk,"{'latitude': 45.560111299999996, 'longitude': 12.251391199999999}",,https://lh3.googleusercontent.com/p/AF1QipMgMc5aJynmk179Cv1N7i8-rRGP9JaWTIOB4VvD=w122-h92-k-no,
5,Parco Tirca,5.0,3.0,Parco,"Via Della Rinascita, 52a, 30175 Venezia VE, Italia",Aperto 24 ore su 24,ChIJV6EBm_e3fkcRU19eyDBDkMI,"{'latitude': 45.4646687, 'longitude': 12.221011599999999}",,,
6,Villa Tivan,4.2,82.0,Parco,"Via Terraglio, 48, 30174 Venezia VE, Italia",Aperto 24 ore su 24,ChIJdde3pFC0fkcRMYZ70ZAA_vg,"{'latitude': 45.5071679, 'longitude': 12.2371468}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw-eD7oa3wvTiEMGKqYaHXLcp0hqV587RYlQ462DljFXv56NNAvi63ydPHfU0r3kbc5znLtV7C-HM-SDrLU6FW3kCDdvhqmYbGs5OjfKEcqqqkJQQchPjatx0kcOleGGNQZl8nl=w122-h92-k-no,
7,Parco all'aperto,4.2,9.0,Parco comunale,"Via Antonio da Mestre, 1, 30171 Venezia VE, Italia",Chiude tra poco ⋅ 20 ⋅ Apre ven alle ore 08,ChIJUZtK6wm1fkcRgiRobVGzX5s,"{'latitude': 45.4941715, 'longitude': 12.237159199999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzdt69wJIGmDpWzjyENBIJlkRoGD0q75gPJYKVQV3rYeSTMUG1nR-23wN_UA-jWqgqb2D91BVNAM0ad0mJp3ye-xcK2KPrpapf1rMhvAnSyaCZzluf86Qf7M_EOteJukfgYr9Vg=w122-h92-k-no,
8,Parco Mutilati del Lavoro,3.6,16.0,Parco comunale,"30100 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 08,ChIJVzirDYi1fkcR0tl44VFaS2U,"{'latitude': 45.4862606, 'longitude': 12.2414185}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfAJaHiNiCpzUdfokVMd-bOiZj7PiJZ8s_9Ebww9SEFFFogSgBLBi0GZ9G7nuODWjinLskTnY7JrXsCBloFp3iY1Qxm973bBEw999rUhBGVtCCoHhg30ffkdfAi3tEB8R-1TmM=w80-h106-k-no,
9,Parco via monte rosa,4.0,1.0,Parco,"Via Monte Celo, 22, 30173 Venezia VE, Italia",,ChIJ120ljZGzfkcRPLKq1ilJoqo,"{'latitude': 45.5058309, 'longitude': 12.289997399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcfi65ACVyxZtaT-VqEn1OnvXbDgi-uUi2cfUv8QS1nadKlvUBSk6hp2RrkNmGlHLH3jzjNWDoorKXt05jA_k_YygR06jpdkMKgXyXh7x8VjqnvjDpgDW7BMqhJbJmhmaaI3H-IA=w80-h106-k-no,
10,Parco pubblico altobello,1.0,1.0,Parco,"30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJky4ZbgC1fkcRMyZ-TvrWTu4,"{'latitude': 45.4872369, 'longitude': 12.2477928}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4Omyix97jO6nz6xFqJLQZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=266.8091&pitch=0&thumbfov=100,
11,Parco i more mor,,,Parco,"Via Gobbi, 30173 Venezia VE, Italia",Aperto 24 ore su 24,ChIJNXEW_KqzfkcRVV5aRwgX9ss,"{'latitude': 45.496919, 'longitude': 12.2863841}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cbjRhSi-U89cb8dPUYT0dg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.82045&pitch=0&thumbfov=100,
12,Parco delle Scimmie,5.0,1.0,Parco,"30175 Venezia VE, Italia",,ChIJ575zUgC3fkcRthC38gn3Lu0,"{'latitude': 45.4727694, 'longitude': 12.2233334}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sOMfUeFB6xGeYbu-LkrcYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=33.287113&pitch=0&thumbfov=100,
13,Parco giochi,,,Parco,"Via del Forte Vecchio, 30013 Cavallino-Treporti VE, Italia",,ChIJcQrMOgCvfkcRrI27J7hu5XM,"{'latitude': 45.4523088, 'longitude': 12.4375108}",,,
14,Parco S. Antonio,3.6,30.0,Parco comunale,"Marghera, 30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJxeFJqYu1fkcRFQHlIgxntFw,"{'latitude': 45.476813899999996, 'longitude': 12.2252437}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyX-J-Ft6NpMmjiczDm8t0zJtnzi4OajsCW8kJWI6pHnpl2jlQrGolLv1Qwmih4zsRSPsXQvpQu1k8vEpL3D_ydVprQZ2wNF-jcRn8gXG-sTtWsYepUO7OpDuoNje-3Oc7bu44S=w122-h92-k-no,
15,Parco Vecchio,4.4,17.0,Parco,"Via Sant'Erasmo, 11, 30175 Venezia VE, Italia",Aperto 24 ore su 24,ChIJiUM2EH61fkcRMRtapmkX6cc,"{'latitude': 45.4798873, 'longitude': 12.2122307}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3V-usgCaW14LPWmYQVX3I04Aq0mrYo3XmDaNgBXgjzmOFr-iAi8-f1ZKQCSzxs5ZeT6HQ_qsqlm0NwmYJzX2W2dJAq4z6f6IGs-OdstpkzwJ03wSQq_1TQ8zbOBboS-32G16T_w=w80-h106-k-no,
16,Parco Naturallegra,3.7,131.0,Parco,"Via Sandro Pertini, 30034 Mira VE, Italia",Aperto 24 ore su 24,ChIJcY7ZPNi3fkcRpuXN2L7wdA8,"{'latitude': 45.434488599999995, 'longitude': 12.147356199999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEkMCJg55lXmrz5KevjjmLWPNYF4Y-P6MgufYUL1PwTR6KltaWYxRY-G9fFUqOVSakkBAVDDoTvX-GNQ_6icYyNS6RHvRTHCsvokrzgBFfmRVgUICPTZoh7BPcgxnhnJKxvXvNcQ=w163-h92-k-no,
17,Parco del Sole - ingresso,4.4,84.0,Parco,"Via Sabbioni, 2, 31021 Mogliano Veneto TV, Italia",Ora aperto,ChIJ5_cckIRLeUcRgotxzsHbbTI,"{'latitude': 45.566978399999996, 'longitude': 12.2307379}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyEnufA9bZWXTnViRH1joOZzVwEA6PwQwqxjjF7wO6SoJFMPLl00PQLBCBwoLNe2ieLoCm0z8wibNbS7jP5-VSO-CX13BGTcwhSqvL2G9zvBUQrZHKmpM5OgTdXM5mjVleNTq9xEQ=w80-h106-k-no,
18,Parco,2.0,1.0,Parco,"30174 Venezia VE, Italia",,ChIJP9PIyjO1fkcRMHuGub8yVAM,"{'latitude': 45.489284399999995, 'longitude': 12.2146303}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy53B2jUu2Bv1VB4vq4vtodkWRJhI_xv9QGMkOBem6cju_ujHRMjrKf2EHFFGq5MqOsrjrVMBt0BT1vu_H2pC4ZwPmi73MIzCmoEalTxtsskQxzchzHdtkSnqXLIqzQ4_tPoJYX=w122-h92-k-no,
19,Parco Giulia Cecchettin,4.6,18.0,Parco,"Via Oriago, 19, 30174 Chirignago-Zelarino VE, Italia",,ChIJu146egC1fkcRyRLldnVJK_c,"{'latitude': 45.4821817, 'longitude': 12.1837178}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSztof1yHfVeO61oy1PubcFUnCij-niW5ggzucoIji9xxCPJZzHCgPU6UNzKIUUX7klb1d3OxtWp1NmbZLZGyspiML0s0OxHSjFxwlQrxOKGug01IutrkzlbIZhl1w50PafSdJuc=w80-h106-k-no,
20,Parco Naturalistico di Cavallino Treporti - Pineta di Ca' Savio,3.0,2.0,Riserva naturale,"Via di Ca' Savio, 30013 Ca' Savio VE, Italia",,ChIJW8D99YCpfkcRQ5FDsaxNkJo,"{'latitude': 45.4458187, 'longitude': 12.460084499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwI2C49w1BsSD-kMiahtb1Y2wrHsxn4aC3x0JlbsqZi6vRJHg2KAuJO47lhXHetyXDfd3yBFqKx__7iIoHgJA5l0pWtuW1pOfR7zbxMaA3z3olLDKrPqqMp1UqfAM1YHZluFsArNA=w122-h92-k-no,
