position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,Campo Santa Margherita,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJp9221MixfkcRGMePlwovhNE,"{'latitude': 45.434281899999995, 'longitude': 12.3236391}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxN-YmsNv1pWVhLxa2YMWGQ7vRjeoQmtw2qa_LKXevC7XEhDCZCY0THZpTfxmI4-XWNi5aerrBgykVTzCnG1qswTx-RWa8cYbhLXpKZcKCWlwmQeSHdMIl_ciqoFuX23erjUnCCA=w122-h92-k-no,
2,Campo della Pescaria,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJTVV_ZNuxfkcR3nQJjesbgCk,"{'latitude': 45.439784499999995, 'longitude': 12.3344094}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOrZNYjz_5W36T6ftw7Bt7etF9XnCIF5rMa0QfDdcMqEa9TQLPhd2QzyOyRQAa3ME_nBJiiX4yf-GqvL9gzTAOIWEAZpNqGSLje_HrTAvhuvvY3meS_frprEceU47LkFtQ3rUb=w80-h106-k-no,
3,Piazza,,,Parco,"Calle Angelo dal Mistro, 30, 30141 Venezia VE, Italia",Aperto 24 ore su 24,ChIJM3ZgeQCvfkcR6hxOQBT43Uk,"{'latitude': 45.4573787, 'longitude': 12.353786699999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFVsktLw4ePtRfIAD24Lse0gwD-t3vhHLnZISq0wMSfLvhXStp1A0jfHeemG27wu3Pwspqt8dm3xtlDBZ0rkNjclfRYxZPumk8GvqHcxubMQVyisBkCGrHplusuWKggkm8LCx3=w197-h92-k-no,
4,Campo Santi Giovanni e Paolo,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJa4XC1NixfkcRYotemy1n_cA,"{'latitude': 45.4392207, 'longitude': 12.341271899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSws5T6vfkZR4LMp2hoQTtjskzEmUOkHGjRuMMcMUZphZ6bcdxk13XQjXHcgRaURCI-r7G-f1D2gXiGWTlHaiaEZGRbZhBupgqjq12pZ95-1If4v0j6mwfhwq5r5n6tOGTZeK9V1fg=w122-h92-k-no,
5,Campo San Giacomo di Rialto,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJUQq-oduxfkcRjhj2OhySjGk,"{'latitude': 45.438646, 'longitude': 12.3352655}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlsowknsOkJG7VbIuglA5Uy_PsEj-FfKOKKHxPHtPIVcr2dBICONJoX2Q1aSQGJ38dseXO9Futf7CYej9vAhznCv-srFebL30myn4McbrMooGtPhnjcHU0r9PZWsA7uls18TIf5w=w122-h92-k-no,
6,Procuratie Nuove,4.9,8.0,Punto di riferimento storico,"P.za San Marco, 7, 30124 Venezia VE, Italia",,ChIJ2w5Da2GxfkcRSAige_aAxHk,"{'latitude': 45.4333998, 'longitude': 12.3382322}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyw3L_TE7l8jsPZPQ9-RzGQ9g1k4zambWX4hVWGMXcXYw-RFOlnv1TsmKo5We3zWC45tuM7iBnhdlyNZ55wa7kwvFaSWCdkhceFHnRLL98yElLZ8PRKVjFKM3TB0M7hVYdmEZNa1Q=w122-h92-k-no,
7,Corte dei Pali già Testori,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ50NnxtyxfkcRsyMD0kJU1HU,"{'latitude': 45.441488, 'longitude': 12.334017999999999}",,,
8,Campo Manin,4.4,701.0,Attrazione turistica,"Via L. Manin, 30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJVVWVd9qxfkcRFk0P16s5Bqs,"{'latitude': 45.4353443, 'longitude': 12.334233399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGLLzoTVkNFvB9GDC0Tj4SBaQ6bCsgVdLgmfQy3SJt3kUbWxw-PNu9q8X_ElD80NzKlBXwCa217oZwd9RXepMkWvM099rbIDSOLlQK0FD5Lh6cThJk2ZhKBLNPElM6EL6QSNMpbQ=w122-h92-k-no,
9,Campiello del Remer,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJgbAUe8GxfkcRzioQ0WnDuSg,"{'latitude': 45.4427479, 'longitude': 12.3269282}",,,
10,Piazza Lorenzo & Margherita,5.0,1.0,Pizzeria,"Via Lepanto, 4, 30126 Venezia VE, Italia",,ChIJW39sAwCvfkcRWZp0BlDm4GE,"{'latitude': 45.4159954, 'longitude': 12.370537599999999}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wwHswgMGE3Jcp7gocqYzFQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=32.7525&pitch=0&thumbfov=100,
