position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
11,Giardino di Fondamenta de la Pescaria,4.0,5.0,Giardino pubblico,"Fondamenta de la Pescheria, 30123 Venezia VE, Italia",Aperto 24 ore su 24,ChIJjZhi6cmxfkcRQTF2RBjLL_4,"{'latitude': 45.4324259, 'longitude': 12.317680099999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxX5a00Hd_zrOiZG-blvvk7cBZFO-5aBf_HecuLkmeNGOak_9usJ3F_2gOh8cSlhF_SVrCLgbElp_T31YyDjLYlk-5nY6lE-TnjaoV0W00r7hYzJjy5GJbppyL6-EBXYvH_JMCU=w80-h130-k-no,
12,GIARDIN Food & Art Oasis,4.9,161.0,Ristorante,"Viale IV Novembre, 14, 30122 Venezia VE, Italia",Chiuso ⋅ Apre mar alle ore 09,ChIJISfHdwCvfkcR61EBLI5Hse0,"{'latitude': 45.4278982, 'longitude': 12.3602397}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYp9RdNZ9xE5utfF--TevJbFng4u9TRmrU-2kId79uN_uW8df4fwRgyeKmziNbykG15rcYdZ6_5aukcDmQpS2EdIDAnNzZzjKLgeCsJojV8wNxfOiqHIdaeyIbwGDt-bZkyjb7GK4ZDpBJ=w122-h92-k-no,
13,Giardino Margherita Ripamonti,4.4,5.0,Giardino pubblico,"Fondamenta Marco Giustinian, 11, 30141 Venezia VE, Italia",,ChIJYdBU9DKvfkcRnzq-EtqcOTY,"{'latitude': 45.456915099999996, 'longitude': 12.3564017}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxB0oImWculgRtmGgCxFf8A0mpsb6E7gK6EauoLAStX8pR6FJ2AMon71_7usm4_zvix9tg8YwV4P-Bi1TpScsEORbhyuqtNkOJ302KRVjjGhSrj2Mb10IRC45GBUWQ8FSq2fSk6Rw=w122-h92-k-no,
14,Giardino di Palazzo Corner della Ca' Granda,5.0,1.0,Giardino,"C. del Dose da Ponte, 30100 Venezia VE, Italia",,ChIJ1YfeSQCxfkcRnboXGfGShUY,"{'latitude': 45.4317236, 'longitude': 12.3315272}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxpZWPF3j9-AWOGFyd1TpOXqDrHzZbvUUd0sysnssUW3Xajp4br_znqVtm395dkku1VV8xhUBWkZ2cHN2gwBOm3Z5bU73iXcsiavXjKXI4pYEXVaXSNFR4ceiqg_nSE-JgazTQqeQ=w80-h106-k-no,
15,Giardino della Stazione,4.9,9.0,Giardino,"Santa Croce, 500, 30135 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ6yHgwLixfkcRx9UiMxQnVs0,"{'latitude': 45.4407919, 'longitude': 12.318652799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJiiW_iOb28y3YqOhDKDMlMN-tWaaCgY9BvE4nXLKVGaWaDAk0VytcKyNMQTPDEicDjn5N_x-1Mm5CtiuKDMenFiv_cDp0-XItFto8VYqnt6zG0T09jz7I-pPUc__Rut7SIYQ5lw=w122-h92-k-no,
16,Albero dell’ombra,4.8,10.0,Giardino,"Calle del Scaleter, 2171, 30125 Venezia VE, Italia",,ChIJi5xhTQCxfkcR-4D1rYMVGjY,"{'latitude': 45.437709999999996, 'longitude': 12.3302}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBopFs9uWqEFceGnDcbEkra2Xyfn44Je7zDlyo9PbiSZirDscY3VzeL0wlGLvB-Db4g9f3NhBTufzclxVQXY0-grqKz5kbAOMLkHXFcUvr2h-gup5FdxOdX4h_cAmbLUeHmaHL=w122-h92-k-no,
17,Oltre Il Giardino,4.9,60.0,Hotel,"S. Polo, 2542, 30125 Venezia VE, Italia",,ChIJOaycpcWxfkcRkdwtp55yR68,"{'latitude': 45.4377487, 'longitude': 12.327616299999999}",,https://lh3.googleusercontent.com/p/AF1QipPPpjATiuyQdHEIZ3abNvj0hNFDHgVHdKpUE8JW=w137-h92-k-no,
18,Orto degli Scalzi (padri Carmelitani),4.6,7.0,Giardino,"30100 Venezia VE, Italia",,ChIJ6-dWWb-xfkcRWmAkx--j85k,"{'latitude': 45.4420802, 'longitude': 12.3208678}",,https://lh3.googleusercontent.com/p/AF1QipMXBWeCUD1qfC0jCmPdBMD68tqqxTtWGpGAUkmR=w138-h92-k-no,
19,Labirinto Borges,3.8,95.0,Giardino,"30133 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 18,ChIJ4fF5wyuufkcRLLQRrmJ8yRQ,"{'latitude': 45.428697299999996, 'longitude': 12.3441575}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7J4T54vxIiEXWFh1MCwTmMYfENM8c4ZS4X1OQ8m8kTOrtKEju_P8ieYwLRhcHZR2L5wxISckS_vc8qbE6yXKZmXvLAtfi-X4n1BoiGo7k0b5vknzF12WvZPgiA6JU8L2ZafU8=w122-h92-k-no,
20,Giardino Ordine di Malta,5.0,2.0,Giardino,"2, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ-Z8q-iaufkcRSHPIACQrc5w,"{'latitude': 45.43658, 'longitude': 12.3469901}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyWCqE0eIxwMImkzlOQjh5Nd9Hlh-wp8Xjn_4y8N6iQOiFNgkgv4dZzNFUVh5QOkDaxIuKenjxs9WxRt5FJXO6rNjoNe0GdVuIWABm5q_kTQrG-TSBg_gjnkNJ2IKLeLer2F3zHQ=w138-h92-k-no,
