latitude,longitude
45.4382983,12.3206545
45.4324259,12.317680099999999
45.430082999999996,12.3553239
45.4314603,12.352596799999999
45.4287722,12.3580806
45.4407919,12.318652799999999
45.432983899999996,12.338291499999999
45.43658,12.3469901
45.4347133,12.359084399999999
45.437709999999996,12.3302
45.4480358,12.3277307
45.456915099999996,12.3564017
45.4270083,12.320387799999999
45.428697299999996,12.3441575
45.4480358,12.3277307
45.456915099999996,12.3564017
45.4385488,12.331452599999999
45.4477093,12.3208009
45.4270083,12.320387799999999
45.4439132,12.3186196
45.4317236,12.3315272
45.4420802,12.3208678
45.428697299999996,12.3441575
45.434934399999996,12.325874299999999
45.4405625,12.3377286
45.427399699999995,12.322710299999999
45.444908399999996,12.3178161
45.4387563,12.323298
45.435874899999995,12.332935899999999
