latitude,longitude
45.4335868,12.325755899999999
45.4329859,12.3382939
45.4567653,12.357757399999999
45.427442199999994,12.3587504
45.43676,12.330411
45.460308,12.349213599999999
45.438493699999995,12.330351199999999
45.4269404,12.3591103
45.4342407,12.341187
45.416466299999996,12.377246699999999
45.4573787,12.353786699999999
45.4318405,12.3734641
45.4291863,12.3566989
45.440379,12.315954699999999
45.4407388,12.3146955
45.4274573,12.3151257
45.4232659,12.3315849
45.443548199999995,12.324322299999999
45.446006999999994,12.3195037
45.4181944,12.3821076
45.4468178,12.3483646
45.4319828,12.3325205
45.432837199999994,12.349883499999999
45.4743271,12.276037599999999
45.4414662,12.3152595
45.4319828,12.3325205
45.432837199999994,12.349883499999999
45.4743271,12.276037599999999
45.4414662,12.3152595
45.434602,12.381146
45.432866399999995,12.3387765
45.466232399999996,12.280560399999999
45.4690434,12.280474499999999
45.4887155,12.226528799999999
45.384744,12.3483032
45.499357499999995,12.2609032
45.476176599999995,12.269667
45.4188508,12.2593669
45.4840576,12.244909499999999
45.4729184,12.2752117
45.4836272,12.2645456
45.4912279,12.3219234
45.496940699999996,12.261163999999999
45.4891697,12.4125743
45.4347116,12.445526599999999
45.4672804,12.218355599999999
45.476199,12.2051339
45.501131,12.2698711
45.3874912,12.3526323
45.486202,12.4133032
45.4744117,12.219894799999999
45.4728563,12.2233255
45.508058899999995,12.257214099999999
45.392455399999996,12.2545
